project,test-fqn,function-fqn
commons-lang,"org.apache.commons.lang3.CharSetUtilsTest.testKeep_StringStringarray()","org.apache.commons.lang3.CharSetUtils.keep(java.lang.String, java.lang.String[])"
commons-lang,"org.apache.commons.lang3.time.GmtTimeZoneTest.getRawOffset()","org.apache.commons.lang3.time.GmtTimeZone.getRawOffset()"
commons-lang,"org.apache.commons.lang3.reflect.TypeUtilsTest.testLang1114()","org.apache.commons.lang3.reflect.TypeUtils.equals(java.lang.reflect.Type, java.lang.reflect.Type)"
commons-lang,"org.apache.commons.lang3.text.StrBuilderTest.testCapacityAndLength()","org.apache.commons.lang3.text.StrBuilder.capacity()"
commons-lang,"org.apache.commons.lang3.text.StrBuilderTest.testCapacityAndLength()","org.apache.commons.lang3.text.StrBuilder.ensureCapacity(int)"
commons-lang,"org.apache.commons.lang3.text.StrBuilderTest.testCapacityAndLength()","org.apache.commons.lang3.text.StrBuilder.isEmpty()"
commons-lang,"org.apache.commons.lang3.text.StrBuilderTest.testCapacityAndLength()","org.apache.commons.lang3.text.StrBuilder.length()"
commons-lang,"org.apache.commons.lang3.text.StrBuilderTest.testCapacityAndLength()","org.apache.commons.lang3.text.StrBuilder.minimizeCapacity()"
commons-lang,"org.apache.commons.lang3.text.StrBuilderTest.testCapacityAndLength()","org.apache.commons.lang3.text.StrBuilder.size()"
commons-lang,"org.apache.commons.lang3.ConversionTest.testBinaryToHexDigitMsb0_bits()","org.apache.commons.lang3.Conversion.binaryToHexDigitMsb0_4bits(boolean[])"
commons-lang,"org.apache.commons.lang3.reflect.FieldUtilsTest.testGetFieldForceAccess()","org.apache.commons.lang3.reflect.FieldUtils.getField(java.lang.Class<?>, java.lang.String, boolean)"
commons-lang,"org.apache.commons.lang3.text.StrBuilderAppendInsertTest.testAppend_FormattedString()","org.apache.commons.lang3.text.StrBuilder.append(java.lang.String, java.lang.Object[])"
commons-lang,"org.apache.commons.lang3.ClassPathUtilsTest.testToFullyQualifiedPathPackageNullString()","org.apache.commons.lang3.ClassPathUtils.toFullyQualifiedPath(java.lang.Package, java.lang.String)"
commons-lang,"org.apache.commons.lang3.CharSetTest.testHashCode()","org.apache.commons.lang3.CharSet.hashCode()"
commons-lang,"org.apache.commons.lang3.builder.HashCodeBuilderTest.testSuper()","org.apache.commons.lang3.builder.HashCodeBuilder.<init>(int, int)"
commons-lang,"org.apache.commons.lang3.builder.HashCodeBuilderTest.testSuper()","org.apache.commons.lang3.builder.HashCodeBuilder.append(java.lang.Object)"
commons-lang,"org.apache.commons.lang3.builder.HashCodeBuilderTest.testSuper()","org.apache.commons.lang3.builder.HashCodeBuilder.appendSuper(int)"
commons-lang,"org.apache.commons.lang3.builder.HashCodeBuilderTest.testSuper()","org.apache.commons.lang3.builder.HashCodeBuilder.toHashCode()"
commons-lang,"org.apache.commons.lang3.ClassUtilsTest.test_getName_Object()","org.apache.commons.lang3.ClassUtils.getName(java.lang.Object, java.lang.String)"
commons-lang,"org.apache.commons.lang3.StringUtilsContainsTest.testContainsIgnoreCase_StringString()","org.apache.commons.lang3.StringUtils.containsIgnoreCase(java.lang.CharSequence, java.lang.CharSequence)"
commons-lang,"org.apache.commons.lang3.LocaleUtilsTest.testLanguagesByCountry()","org.apache.commons.lang3.LocaleUtils.languagesByCountry(java.lang.String)"
commons-lang,"org.apache.commons.lang3.builder.CompareToBuilderTest.testObjectComparator()","org.apache.commons.lang3.builder.CompareToBuilder.append(java.lang.Object, java.lang.Object, java.util.Comparator<?>)"
commons-lang,"org.apache.commons.lang3.builder.CompareToBuilderTest.testObjectComparator()","org.apache.commons.lang3.builder.CompareToBuilder.toComparison()"
commons-lang,"org.apache.commons.lang3.StringUtilsTest.testDefaultIfBlank_CharBuffers()","org.apache.commons.lang3.StringUtils.defaultIfBlank(T, T)"
commons-lang,"org.apache.commons.lang3.reflect.FieldUtilsTest.testGetFieldIllegalArgumentException1()","org.apache.commons.lang3.reflect.FieldUtils.getField(java.lang.Class<?>, java.lang.String)"
commons-lang,"org.apache.commons.lang3.mutable.MutableShortTest.testToString()","org.apache.commons.lang3.mutable.MutableShort.toString()"
commons-lang,"org.apache.commons.lang3.math.NumberUtilsTest.testMaxInt_nullArray()","org.apache.commons.lang3.math.NumberUtils.max(int[])"
commons-lang,"org.apache.commons.lang3.reflect.TypeUtilsTest.testIsArrayGenericTypes()","org.apache.commons.lang3.reflect.TypeUtils.isArrayType(java.lang.reflect.Type)"
commons-lang,"org.apache.commons.lang3.text.translate.EntityArraysTest.testHTML40_EXTENDED_ESCAPE()","org.apache.commons.lang3.text.translate.EntityArrays.HTML40_EXTENDED_ESCAPE()"
